0,603363.SH
3,603127.SH
4,601068.SH
6,603551.SH
8,603298.SH
9,603180.SH
10,688015.SH
11,603898.SH
15,603218.SH
17,603007.SH
19,603722.SH
20,603353.SH
21,603001.SH
23,688022.SH
26,603659.SH
28,603045.SH
29,601258.SH
30,601368.SH
33,603199.SH
34,688037.SH
36,603236.SH
38,603995.SH
39,601989.SH
40,601200.SH
42,603078.SH
43,601579.SH
44,688208.SH
45,601216.SH
48,601299.SH
49,601618.SH
51,601339.SH
52,603035.SH
53,688159.SH
56,601231.SH
59,603330.SH
60,603578.SH
62,603500.SH
64,603399.SH
65,603661.SH
66,601669.SH
67,601860.SH
68,603566.SH
69,601330.SH
70,601069.SH
71,603617.SH
72,603116.SH
73,603730.SH
74,603583.SH
75,603878.SH
76,603985.SH
77,688016.SH
78,601636.SH
79,603991.SH
80,601882.SH
82,603055.SH
83,601127.SH
84,603638.SH
86,603949.SH
87,603738.SH
89,603099.SH
90,603090.SH
91,603920.SH
93,603881.SH
94,603041.SH
98,601366.SH
99,603665.SH
100,603676.SH
104,603701.SH
106,603157.SH
107,600901.SH
109,601512.SH
110,603167.SH
113,600917.SH
114,603989.SH
117,601985.SH
120,603488.SH
121,603507.SH
122,601163.SH
123,601966.SH
126,603489.SH
127,603387.SH
130,603886.SH
131,603378.SH
132,603138.SH
133,603351.SH
134,601718.SH
135,601199.SH
137,603786.SH
138,603569.SH
139,603022.SH
141,601616.SH
148,603577.SH
149,603003.SH
151,600349.SH
152,600348.SH
153,600481.SH
154,600557.SH
155,600553.SH
157,600446.SH
158,600039.SH
159,600401.SH
161,603323.SH
162,600592.SH
164,600012.SH
165,600432.SH
166,600485.SH
167,600050.SH
168,603178.SH
170,603121.SH
172,601375.SH
174,600992.SH
175,600460.SH
177,600327.SH
179,600493.SH
181,688068.SH
182,601916.SH
184,601108.SH
186,600035.SH
188,600503.SH
189,600439.SH
190,600565.SH
191,600547.SH
193,600273.SH
194,600527.SH
197,600928.SH
198,600993.SH
199,600563.SH
203,600597.SH
204,600559.SH
206,600026.SH
208,688218.SH
209,601107.SH
212,600020.SH
214,600587.SH
215,600595.SH
216,600340.SH
217,600531.SH
218,688108.SH
220,688333.SH
221,600015.SH
223,600579.SH
224,600479.SH
225,600449.SH
227,600438.SH
228,688188.SH
229,600505.SH
232,600969.SH
234,600577.SH
236,600570.SH
237,603826.SH
238,600375.SH
240,600403.SH
241,600521.SH
244,600593.SH
246,600469.SH
247,600489.SH
248,600988.SH
249,600452.SH
