600048,"Poly Developments and Holdings Group Co., Ltd. operates real estate businesses. The Company provides real estate investment, estate development, brokerage, and real estate finance services. Poly Developments and Holdings Group also conducts cultural travel, convention, health care, and education businesses."
600050,"China United Network Communications Limited provides a variety of telecommunication services, including GSM and CDMA wireless telecommunication services, international and domestic long distance communication services, data communication and Internet services, as well as paging services."
600051,"Ningbo United Group Co., Ltd. is an investment holding company.  Through its subsidiaries, the Company operates in import/export trading, constructs infrastructure facilities, develops real estate, manufactures pharmaceuticals, and provides food services."
600052,"Zhejiang Guangsha Co., Ltd. develops real estate and undertakes construction projects.  The Company also provides travel services and operates in property management."
600053,"Kunwu Jiuding Investment Holdings CO.,Ltd engages in private equity investment. The Company invests in information technology, internet, healthcare, and other fields. Kunwu Jiuding Investment Holdings also operates real estate development and sales businesses."
600054,"Huangshan Tourism Development Co., Ltd. operates in the tourism industry.  The Company provides cableway transportation, sells garden tickets, operates hotels and restaurants, and provides tourism services."
600055,"Beijing Wandong Medical Technology Co., Ltd. manufactures and distributes medical equipment. The Company produces medical imaging equipment, X-rays equipment, high frequency digital gastrointestinal equipment, and resonance imaging machines. Beijing Wandong Medical Technology also provides veterinary imaging solutions and medical equipment maintenance services."
600056,"China Meheco Co Ltd operates an import and export business. The Company trades pharmaceutical products, paper making machinery, and aluminum extruders. CNTIC Trading also imports patent technologies and industrial techniques."
600057,"Xiamen Xiangyu Co., Ltd. provides logistics services. The Company offers logistics platform development, international transit, warehousing, and other services. Xiamen Xiangyu also operates import and export businesses."
600058,"Minmetals Development Co., Ltd imports and exports metals and minerals. The Company imports rolled steel, ore sand, and steel billets, and exports coke, coal, iron, bolognian stones, and other minerals.  Minmetals Development also provides freight transportation service and manages hotels."
600059,"Zhejiang Guyuelongshan Shaoxing Wine Co., Ltd. manufactures and markets yellow wines, white spirits, beverages, food, and food materials.  Through its subsidiaries, the Company also manufactures spandex and provides food services."
600060,"Hisense Visual Technology Co., Ltd. manufactures and markets electronic products and household electrical appliances. The Company produces television sets, refrigerators, freezers, communication products. Hisense Visual Technology conducts business in China."
600061,"SDIC Capital Co.,Ltd operates finance investment and management businesses. The Company focuses on securities, trust, fund, futures, insurance, and other finance areas. SDIC Capital also conducts investment banking and other self operation businesses."
600062,"China Resources Double-Crane Pharmaceutical Co., Ltd. develops, manufactures and markets a variety of medical products.  The Company's products include anti-influenza,  antihypertensives, and antibiotics."
600063,"Anhui Wanwei Updated High-Tech Material Industry Co.,Ltd manufactures and distributes chemical products. The Company produces polyester chips, vinyl acetate, methyl acetate, polyvinyl butyral, and polyvinyl alcohol fiber products. Anhui Wanwei Updated High-Tech Material Industry also conducts building materials production businesses."
600064,"Nanjing Gaoke Company Limited operates as a real estate development company. The Company develops and markets high-rise residential buildings, low-rise apartments, villas, commercial facilities, office buildings, and other related areas. Nanjing Gaoke also operates pharmaceutical manufacturing business."
600066,"Zhengzhou Yutong Bus Co.,Ltd. manufactures and distributes bus products. The Company produces coaches, city buses, school buses, airport airfield buses, and special vehicles. Zhengzhou Yutong Bus markets its products domestically and internationally."
600067,"Citychamp Dartong Co., Ltd. operates real estate businesses. The Company provides housing renovation, housing loans, real estate brokerage, and other services. Citychamp Dartong also operates special enameled wire manufacturing, new energy development, and other businesses."
600068,"China Gezhouba Group Company Limited provides infrastructure construction services. The Company provides new energy engineering construction, water resources and hydropower engineering construction, greening construction, and other related services. China Gezhouba Group also produces environmentally friendly materials."
600069,"Henan Yinge Industrial Investment Holding Co. Ltd. manufactures and distributes paper products. The Company produces household paper, cultural paper, packaging paper, paperboard, and specialty paper products. Henan Yinge Industrial Investment Holding markets its products domestically and internationally."
600070,"Zhejiang Furun Co., Ltd. produces and markets cotton fabric, woolen fabric, and spun silk products, as well as designs and manufactures garments.  The Company also sells pharmaceutical and healthcare products.  In addition, Zhejiang Furun operates toll roads."
600071,"Phenix Optical Co., Ltd. manufactures and markets a variety of optical and photographic products.  The Company's products include cameras, telescopes, optical lenses, and other related products."
600072,"CSSC Science & Technology Co., Ltd. designs and builds a variety of steel structures for buildings and transportation equipment. The Company also produces pressure containers, ship parts, electric equipment, and port machinery."
600073,"Shanghai Maling Aquarius Co., Ltd. manufactures and markets canned food, bottled water, flavorings, frozen food, and other related products."
600075,"Xinjiang Tianye Co., Ltd produces and sells chemical products. The Company manufactures and sells plastics, alkali, chlorine, and other products. Xinjiang Tianye also operates agricultural products production, goods delivery, and water and electricity distribution services."
600076,"Kangxin New Materials Co.,Ltd. operates in the wood industry. The Company designs, produces, and sells wood veneer and plywood products. Kangxin New Materials also participates in afforestation throughout China."
600077,"Sundy Land Investment Co., Ltd. engages in real estate developments, produces steel products. The company also engages in logistics, e-commerce, warehousing, processing and distribution, as well as supermarket sales."
600078,"Jiangsu Chengxing Phosph-Chemicals Co., Ltd. manufactures and markets phosphoric acid, phosphates, and other phosphoric chemicals."
600079,"Humanwell Healthcare (Group) Co.,Ltd. develops and sells pharmaceuticals. The Company manufactures and sells anesthetics, analgesics, central nerve system drugs, and other products. Humanwell Healthcare (Group) markets its products worldwide."
600080,"Ginwa Enterprise Group Inc., develops and manufactures biomedical products and health care products.  The Company also wholesales medicine and medical equipment as well as leases commercial properties and provides entertainment services."
600081,"Dongfeng Electronic Technology Co., Ltd. manufactures and markets motor vehicle parts and instruments including sensors, bearings, valves, and other related auto parts.  Through its subsidiaries, the Company also operates in automobiles and parts trading."
600082,"Tianjin Hi-Tech Development Co., Ltd. operates as a building materials sales company. The Company markets steel products and other products. Tianjin Hi-Tech Development also operates real estate sales, rental and leasing, and other businesses."
600083,"Jiangsu Boxin Investing & Holdings Co.,Ltd. design and develops artificial intelligence electronics. The Company produces smart phone, smart hardware device, electric toothbrush, beauty instrument, smart speaker, and children's smart watch products. Jiangsu Boxin Investing & Holdings also conducts cross-border e-commerce businesses."
600084,CITIC Guoan Wine Co Ltd produces wines and other agricultural products. The company also develops and markets real estate properties.
600085,"Beijing Tongrentang Co., Ltd. develops, manufactures, and markets Chinese traditional medicines and medicinal wines.  The Company also operates pharmaceutical retail businesses and provides consulting services."
600086,"Eastern Gold Jade Co., Ltd. designs and processes jewelry products. The Company produces jades, gold bars, and other jewelries. Eastern Gold Jade also conducts internet financial businesses."
600088,"China Television Media, Ltd. produces television series and programs.  The Company also operates theme parks at its picture production sites, and provides advertising services."
600089,"TBEA Co., Ltd. manufactures and markets electrical components. The Company produces transformers, reactors, mutual inductors, and other products. TBEA also produces new energy equipment, new materials, and other products."
600090,"Xin Jiang Ready Health Industry Co., Ltd. manufactures and sells Chinese, anti-biotic, and bio-pharmaceutical medicines and equipment. The Company also operates retail and wholesale outlets for health care supplements and consumer products."
600091,"Baotou Tomorrow Technology Co., Ltd. manufactures caustic soda, PVC resin, phenol, hydrochloric acid, sulfuric acid, hydrofluoric acid, calcium carbide and other chemical products. The Company also develops computer peripheral equipment and computer software."
600093,"Easysight Supply Chain Management Co. Ltd. develops and operates supply chains. The Company operates supply chain corporate financing, prepayment, pre settlement, and other businesses. Easysight Supply Chain Management also operates products factoring, block chains management, and other businesses. Easysight Supply Chain Management provides services in China."
600094,"Greattown Holdings Ltd. operates real estate businesses. The Company provides house sales, house loans, property management, and other services. Greattown Holdings also operates financial investment, paper manufacturing, and other businesses."
600095,"Harbin High-tech Group Co., Ltd. is an investment holding company.  Through its subsidiaries, the Company processes soybeans, manufactures pharmaceuticals and water resistant coiled materials, develops and manages real estate, as well as operates in commercial trading."
600096,"Yunnan Yuntianhua Co., Ltd. manufactures and markets fertilizers and other chemical products.  The Company's products include synthetic ammonia, urea, nitramine, pentaerythritol, sodium formate, and polyformaldehyde.  Yunnan Yuntianhua also manufactures glass fibers and lubricants."
600097,"Shanghai Kaichuang Marine International Co., Ltd. is in the business of fishery, aquaculture, and marine products processing and trading."
600098,"Guangzhou Development Group Incorporated distributes coal products. The Company markets brown coal products, bituminous coal products, hard coal products, coking coal products, and other related products. Guangzhou Development Group also provides electricity generation services."
600099,"Linhai Co., Ltd. manufactures and markets motorcycles, mopeds, engines, forestry machinery, sprinkling machinery, logging machinery, fire protection machinery, and related parts."
600100,"Tsinghua Tongfang Co.,Ltd wholesales consumer electronics products. The Company sales Home computers, business computers, notebook products, servers, mobile internet terminals, and other products. Tsinghua Tongfang also provides system integration services."
600101,"Sichuan Mingxing Electric Power Co., Ltd. generates, transmits, and distributes electricity in southwest China.  The Company also installs electricity networks, distributes water, gas, and provides hotel management service and trading business."
600103,"Fujian Qingshan Paper Industry Co., Ltd. operates a paper business.  Its products include paper bags, paper cardboards, and paper pulp.  Through its subsidiaries, the Company also produces alkali, electro-optical products, consumer fine chemicals, and pharmaceutical products, generates electricity, trades general merchandise, as well as provides forestry services."
600104,"SAIC Motor Corporation Ltd., through joint ventures, manufactures and markets automobiles and related parts and accessories."
600105,"Jiangsu Etern Co., Ltd. manufactures and markets telecommunication electrical cable, optical cable, copper wire, and other telecommunication products."
600106,"Chongqing Road & Bridge Co., Ltd provides infrastructure construction services. The Company provides highway construction, bridge construction, and other related services. Chongqing Road & Bridge also operates real estate development business."
600107,"Hubei Mailyard Share Co., Ltd. produces and markets a wide range of garments. The Company's main products include suits, fashion garments, and knitwear series.  Mailyard also operates a hotel management business."
600108,"Gansu Yasheng Industrial (Group) Co.,Ltd provides agricultural products planting and processing services. The Company plants hops, potatoes, pastures, herbs, sunflowers, peppers, medlars, and other products. Gansu Yasheng Industrial (Group) also manufactures water saving irrigation equipment."
600109,"Sinolink Securities Co., Ltd. operates securities businesses. The Company provides securities brokerage, asset management, fixed income, equity investment, and investment banking services. Sinolink Securities also conducts investment consulting and asset custody businesses."
600110,"Nuode Investment Co., Ltd. develops, manufactures, and distributes copper materials.. The Company produces lithium ion battery copper foils and other lithium battery materials. Nuode Investment also manufactures and sells cables and wires."
600111,"China Northern Rare Earth (Group) High-Tech Co.,Ltd manufactures rare earth products. The Company produces rare earth concentrates, rare earth metals, rare earth oxides, new rare earth materials, and other products. China Northern Rare Earth (Group) High-Tech also operates import and export businesses."
600112,"Guizhou Changzheng Tiacheng Holding Co Ltd manufactures and markets electrical equipment and components. The Company's products include high and low voltage circuit breakers, tap changers, relay protection equipment, switch equipment, and control equipment. It also designs, develops, manufactures, and sells wind power generation equipment."
600113,"Zhe Jiang Dong Ri Limited Company manufactures and produces electric lighting fixtures and parts. The Company also develops and invests in real estate, provides market space rental services, engages in computer network development and property management."
600114,"NBTM New Materials Group Co., Ltd. designs, manufactures and markets powder metallurgical products. The Company's products include motorcycle parts, compressor parts, electric tool parts, automobile parts and other parts."
600115,"China Eastern Airlines Corporation Limited operates airline businesses. The Company provides passenger transport, air freight, air catering, and other related services. China Eastern Airlines conducts businesses worldwide."
600116,"Chongqing Three Gorges Water Conservancy & Electric Power Co., Ltd. generates and distributes hydroelectric power. The Company also manufactures water conservation products as well as provides installation and advertising services."
600117,"Xining Special Steel Co.,Ltd. manufactures and distributes special steel products. The Company produces carbon steel, carbon steel, composite steel, stainless steel, and more. Xining Special Steel provides its products for automobile, railway, ship, petrochemical, aerospace, and mining machinery areas."
600118,"China Spacesat Co., Ltd. develops and manufactures satellites and related products. The Company also operates retail stores, hotels, and travel properties ."
600119,"Y.U.D. Yangtze River Investment Industry Co., Ltd. engages in logistics business. The Company provides cargo transportation, supply chain, cross border electronic commerce, and other logistics services. Y.U.D. Yangtze River Investment Industry also operates property management and leasing, labor services, and other businesses."
600120,"Zhejiang Orient Financial Holdings Group Co.,Ltd. imports and exports textile products. The Company exports cotton, wool knitwear, household textile products, textile accessories, and other products as well as imports textile raw materials and equipment. Zhejiang Orient Financial Holdings Group also provides finance leasing, real estate sales, and other services."
600121,"Zhengzhou Coal Industry & Electric Power Co., Ltd. manufactures and markets coal products. The Company produces lean coals, meager coals, anthracite coals, and other products. Zhengzhou Coal Industry & Electric Power also operates railway freight transportation, cargo handling, and other businesses."
600122,"Jiangsu Hongtu High Technology Co., Ltd sales consumer electronics products The Company markets laser audio and video products, computers, networking equipment, cables, communication equipment, and other related products. Jiangsu Hongtu High Technology also operates industrial manufacturing, real estate, internet finance, and other businesses."
600123,"Shanxi Lanhua Sci-Tech Venture Co., Ltd. produces and markets coal and fertilizers."
600125,"China Railway Tielong Container Logistics Co., Ltd. provides freight services. The Company offers special container transportation, railway freight, port logistics, and other services. China Railway Tielong Container Logistics also operates real estate development industry."
600126,"Hangzhou Iron & Steel Co., Ltd. manufactures and markets iron and steel products including cast iron, steel billets, and steel materials.  Through its subsidiaries, the Company also operates in utility businesses, develops computer software, as well as provides water treatment services."
600127,"Hunan Jinjian Cereals Industry Co., Ltd. manufactures, processes, and markets rice, flour, and cooking oil.  The Company also manufactures dairy and pharmaceutical products, and develops real estate."
600128,"Jiangsu Holly Corporation imports and exports hand-knitting thread, embroidery products, hats, and toys.  The products are exported to Europe, Japan, the United States, and Canada."
600129,"Chongqing Taiji Industry (Group) Co., Ltd. manufactures and markets medicines, healthcare products, medical packing products, and medical instruments.  The Company also imports and exports Chinese medicine materials and medical packing materials."
