,company,mkt_cap,pb_ratio,beta,profit_m,roa,roe
85,002886.SZ,3.14B,4.67,0.19,4.88%,1.63%,7.09%
86,002856.SZ,1.92B,2.82,N/A,-1.96%,1.56%,-2.73%
87,600191.SS,3.48B,1.84,N/A,-53.51%,-1.16%,-3.20%
88,000635.SZ,2.28B,0.85,0.83,1.07%,0.92%,0.74%
89,000715.SZ,2.53B,1.76,0.73,5.10%,4.81%,7.89%
90,600493.SS,1.41B,1.90,0.61,2.15%,1.90%,2.80%
91,000958.SZ,23.26B,8.24,0.94,11.18%,4.27%,13.92%
92,000573.SZ,1.76B,0.98,N/A,-2.15%,1.38%,-1.59%
93,300003.SZ,64.51B,8.62,0.66,20.13%,7.68%,19.79%
94,300303.SZ,6.01B,2.82,1.35,12.62%,5.03%,14.40%
95,002602.SZ,73.68B,3.22,0.23,20.21%,8.72%,13.15%
96,600722.SS,2.67B,2.65,0.68,4.54%,1.70%,4.79%
97,002807.SZ,8.95B,0.76,0.70,45.24%,0.81%,8.86%
98,600773.SS,4.34B,1.29,1.07,7.57%,1.07%,3.06%
99,300087.SZ,6.10B,8.70,-0.47,8.00%,2.83%,10.12%
100,300064.SZ,3.52B,0.50,N/A,0.00%,0.13%,-121.91%
101,000716.SZ,3.23B,1.18,0.55,-0.03%,-0.15%,-0.33%
102,300079.SZ,6.99B,1.82,1.06,-1.35%,-0.51%,-0.30%
103,300473.SZ,2.65B,1.32,0.88,1.26%,2.36%,2.23%
104,600280.SS,2.35B,1.71,N/A,-7.26%,1.04%,-50.40%
105,002684.SZ,3.29B,N/A,0.91,11.39%,-1.40%,N/A
106,601666.SS,9.68B,0.70,0.61,4.83%,3.24%,8.27%
107,600664.SS,10.10B,1.94,0.47,0.12%,0.34%,1.31%
108,601966.SS,23.72B,2.24,0.30,10.50%,4.49%,16.30%
109,603390.SS,4.80B,5.55,N/A,N/A,N/A,N/A
110,300175.SZ,3.36B,4.05,N/A,4.71%,0.87%,0.70%
111,600405.SS,2.81B,2.66,0.66,-1.28%,0.98%,-1.62%
112,000507.SZ,4.73B,0.90,N/A,6.68%,1.84%,5.54%
113,300083.SZ,6.25B,2.34,1.21,0.40%,-0.12%,0.49%
114,600221.SS,26.12B,0.49,0.47,-11.36%,-0.91%,-11.37%
