,company,mkt_cap,pb_ratio,beta,profit_m,roa,roe
920,300606.SZ,2.54B,4.68,-0.08,13.61%,6.49%,12.54%
921,002499.SZ,655.83M,0.86,N/A,-280.30%,-1.86%,-115.77%
922,600006.SS,8.14B,1.11,N/A,3.27%,N/A,N/A
923,002451.SZ,3.46B,4.91,0.91,-8.61%,-0.99%,-4.26%
924,600805.SS,3.82B,0.62,0.68,-5.38%,-0.64%,-2.60%
925,002218.SZ,3.89B,1.32,0.79,13.76%,1.50%,4.77%
926,000585.SZ,1.07B,106.43,0.28,-38.52%,-1.85%,N/A
927,603239.SS,3.31B,3.44,0.88,16.17%,5.87%,9.94%
928,603029.SS,1.34B,1.88,-0.54,2.79%,1.79%,3.09%
929,300806.SZ,3.70B,4.90,N/A,7.58%,N/A,N/A
930,000543.SZ,8.75B,0.67,0.74,4.90%,2.26%,5.96%
931,002816.SZ,2.80B,5.54,N/A,-62.46%,-4.59%,-15.16%
932,600025.SS,65.52B,1.30,0.06,24.08%,3.68%,9.85%
933,603017.SS,2.96B,1.65,N/A,10.27%,4.65%,11.29%
934,002365.SZ,3.25B,2.02,0.79,6.73%,3.45%,6.22%
935,600718.SS,14.32B,1.65,N/A,-0.39%,0.66%,-2.71%
936,300415.SZ,3.07B,2.43,1.04,6.25%,3.16%,10.02%
937,600351.SS,3.82B,1.31,0.61,-0.75%,4.02%,-0.89%
938,600315.SS,16.83B,2.68,0.64,6.06%,2.08%,7.14%
939,002480.SZ,2.88B,1.29,N/A,-5.42%,-0.02%,-4.47%
940,000807.SZ,12.11B,1.11,1.06,2.48%,2.83%,6.52%
941,002007.SZ,67.21B,10.27,0.19,34.53%,12.35%,20.54%
942,601177.SS,3.07B,1.87,0.82,1.01%,-0.28%,1.58%
943,002734.SZ,4.71B,2.33,0.10,10.15%,5.19%,19.37%
944,000720.SZ,6.78B,2.82,0.46,3.76%,3.56%,3.88%
945,002123.SZ,10.97B,2.35,1.21,-8.03%,-1.75%,-5.98%
946,600326.SS,5.70B,1.67,1.22,6.93%,5.56%,15.22%
947,300760.SZ,317.54B,18.04,N/A,28.68%,12.67%,27.66%
948,600775.SS,8.91B,2.25,0.80,-0.03%,0.26%,1.44%
949,000930.SZ,14.68B,1.52,0.35,3.36%,3.56%,6.02%
950,688078.SS,2.74B,14.82,N/A,N/A,N/A,N/A
951,603398.SS,2.42B,3.34,N/A,12.33%,4.01%,8.26%
952,002628.SZ,3.08B,1.12,0.30,1.74%,0.05%,1.75%
953,600106.SS,3.31B,0.88,0.45,85.20%,1.71%,5.57%
954,300337.SZ,2.68B,1.92,1.06,1.63%,-0.08%,3.32%
955,300564.SZ,3.10B,6.43,N/A,13.97%,N/A,N/A
956,300459.SZ,10.49B,1.47,0.68,-124.63%,-13.72%,-43.01%
957,300819.SZ,2.84B,6.34,N/A,10.49%,5.16%,8.79%
958,603530.SS,9.12B,8.88,N/A,21.32%,7.77%,14.31%
959,600826.SS,4.40B,1.28,N/A,-0.08%,-0.32%,0.05%
960,603579.SS,3.94B,2.42,0.82,12.56%,6.59%,16.29%
961,300188.SZ,16.33B,5.52,0.65,12.65%,4.36%,9.17%
962,300690.SZ,2.52B,2.56,-0.12,18.90%,8.60%,16.08%
963,002134.SZ,2.10B,5.35,0.96,3.22%,0.75%,3.37%
964,600328.SS,6.78B,2.59,0.34,7.56%,7.42%,18.85%
965,300380.SZ,2.49B,5.75,1.13,4.62%,4.33%,6.68%
966,600489.SS,27.85B,2.03,N/A,0.38%,2.57%,2.80%
967,300658.SZ,3.82B,4.55,0.18,10.41%,5.10%,13.67%
968,300678.SZ,3.81B,6.68,1.19,9.20%,1.61%,6.37%
969,300727.SZ,1.65B,2.94,0.69,7.31%,5.28%,8.05%
970,300437.SZ,2.14B,1.33,-0.83,6.43%,4.52%,7.81%
971,000710.SZ,12.66B,5.78,0.28,17.24%,9.52%,12.80%
972,600550.SS,10.17B,14.37,0.35,1.33%,1.34%,5.67%
973,601015.SS,4.55B,0.81,0.66,-0.70%,0.48%,-0.79%
974,300568.SZ,6.51B,2.57,0.77,13.49%,0.51%,3.20%
975,300297.SZ,5.54B,1.12,1.08,-64.98%,-7.83%,-24.80%
976,300070.SZ,29.18B,1.53,0.59,11.51%,2.29%,6.30%
977,603000.SS,20.06B,6.80,N/A,15.59%,5.54%,12.77%
978,000595.SZ,1.96B,3.65,0.19,-114.20%,-7.67%,-62.54%
979,300717.SZ,1.45B,2.53,-0.12,15.71%,4.59%,8.40%
980,603040.SS,2.18B,2.91,0.24,40.58%,9.64%,17.32%
981,600792.SS,3.05B,0.91,0.45,4.12%,4.22%,6.91%
982,002168.SZ,5.79B,3.05,N/A,11.29%,3.58%,9.71%
983,600269.SS,8.10B,0.52,N/A,1.82%,1.78%,0.14%
984,603777.SS,4.28B,2.39,N/A,0.26%,N/A,0.57%
985,600958.SS,58.25B,1.18,0.98,10.59%,0.77%,3.68%
986,002101.SZ,3.97B,0.86,0.83,-1.20%,2.65%,-0.38%
987,603798.SS,1.96B,2.12,0.00,7.43%,3.78%,7.21%
988,600363.SS,5.64B,2.19,N/A,4.48%,1.11%,7.78%
989,002707.SZ,4.02B,1.64,0.39,-0.12%,-0.02%,-0.62%
990,300411.SZ,5.11B,3.16,0.25,20.18%,1.99%,7.35%
991,300284.SZ,9.58B,2.12,0.45,11.22%,4.58%,13.37%
992,603822.SS,1.90B,2.44,-0.40,4.54%,3.55%,8.09%
993,002025.SZ,10.43B,3.56,0.68,10.97%,5.46%,12.78%
994,600241.SS,1.10B,0.88,N/A,-64.71%,N/A,-38.65%
995,000038.SZ,4.44B,1.68,-0.11,9.22%,1.02%,4.94%
996,000890.SZ,1.44B,2.71,0.58,-110.50%,-9.56%,-316.25%
997,300125.SZ,3.49B,4.55,0.67,12.67%,0.84%,1.61%
998,600704.SS,24.30B,0.97,0.77,0.69%,2.00%,11.75%
999,600870.SS,1.31B,166.44,N/A,5.34%,1.08%,9.73%
1000,002051.SZ,10.20B,0.98,0.98,9.05%,1.68%,7.92%
1001,002457.SZ,2.71B,1.46,0.70,6.32%,3.88%,6.20%
1002,600888.SS,4.37B,0.98,1.04,3.58%,1.42%,3.86%
1003,002246.SZ,4.07B,1.63,0.76,5.53%,1.49%,4.77%
1004,601162.SS,34.13B,2.83,N/A,6.20%,0.62%,1.96%
1005,002253.SZ,2.79B,2.06,N/A,15.07%,2.42%,4.05%
1006,601155.SS,70.57B,1.84,1.47,14.35%,2.01%,23.30%
1007,300291.SZ,3.92B,1.28,1.00,21.15%,1.09%,4.06%
1008,002429.SZ,18.61B,2.00,1.01,8.52%,4.18%,12.42%
1009,600075.SS,4.79B,1.01,N/A,0.64%,1.81%,-0.15%
1010,600633.SS,13.40B,1.69,N/A,17.98%,3.13%,7.78%
1011,000830.SZ,11.95B,1.15,1.43,8.17%,2.70%,11.93%
1012,600901.SS,15.20B,1.31,0.55,74.42%,2.40%,13.45%
1013,600158.SS,7.15B,4.19,0.72,4.52%,1.26%,4.21%
1014,600796.SS,1.71B,3.02,0.28,5.32%,-3.95%,4.25%
1015,688188.SS,12.32B,5.89,N/A,63.07%,N/A,N/A
1016,603103.SS,8.62B,3.61,1.07,0.64%,-1.34%,0.56%
1017,600850.SS,9.32B,3.74,0.77,4.11%,3.33%,11.89%
1018,300166.SZ,15.10B,2.91,0.74,22.92%,5.00%,9.34%
1019,600892.SS,2.41B,2.92,N/A,-296.00%,N/A,-65.45%
1020,002078.SZ,22.76B,1.63,1.16,10.21%,6.35%,16.65%
1021,601398.SS,2.70T,0.72,0.84,46.10%,1.03%,12.12%
1022,000889.SZ,6.03B,1.64,1.21,-46.56%,-0.18%,-44.28%
1023,300270.SZ,2.16B,2.09,0.91,-64.59%,-6.49%,-12.25%
1024,300796.SZ,2.79B,4.71,N/A,10.08%,2.05%,5.40%
1025,603133.SS,3.69B,4.07,N/A,-8.13%,-1.38%,-5.75%
1026,300133.SZ,11.66B,1.68,0.68,-52.43%,-2.46%,-22.52%
1027,300262.SZ,2.84B,1.18,0.45,7.67%,0.50%,2.89%
1028,603838.SS,2.05B,2.71,0.60,9.43%,1.75%,5.00%
1029,603608.SS,5.03B,2.37,-0.30,8.30%,4.41%,7.68%
1030,603111.SS,7.00B,3.66,0.77,20.43%,5.21%,31.11%
1031,601118.SS,22.85B,2.36,0.24,-0.26%,0.14%,-0.58%
1032,002618.SZ,5.39B,3.09,1.05,4.77%,0.09%,0.88%
1033,600586.SS,3.91B,0.93,0.74,1.30%,2.67%,1.73%
1034,002760.SZ,1.58B,2.86,0.51,10.42%,3.08%,11.98%
1035,601225.SS,74.80B,1.33,1.04,14.52%,8.76%,21.71%
1036,600605.SS,1.50B,2.11,0.88,38.71%,2.18%,5.69%
1037,000516.SZ,8.26B,1.55,0.95,-57.05%,-3.71%,-11.45%
1038,000403.SZ,10.25B,13.40,0.12,16.98%,8.83%,21.61%
1039,300790.SZ,4.02B,3.47,N/A,8.48%,5.13%,11.51%
1040,002943.SZ,2.26B,2.86,N/A,-5.90%,-1.73%,-1.87%
1041,600769.SS,1.89B,33.52,N/A,13.31%,1.69%,5.75%
1042,600429.SS,8.37B,1.63,0.14,-0.48%,-0.11%,-0.48%
1043,002345.SZ,3.09B,0.88,0.40,-0.93%,1.87%,-0.89%
1044,002578.SZ,3.20B,2.27,0.55,3.58%,1.38%,3.47%
1045,600619.SS,6.36B,1.69,N/A,1.92%,1.25%,4.92%
1046,300109.SZ,4.86B,1.61,N/A,10.72%,4.47%,4.95%
1047,300570.SZ,5.09B,3.90,0.17,22.97%,4.28%,11.08%
1048,300599.SZ,3.41B,2.21,0.34,10.85%,8.31%,13.39%
1049,600645.SS,8.68B,2.59,N/A,3.58%,N/A,1.67%
1050,300559.SZ,7.55B,8.31,0.03,35.81%,12.50%,23.82%
1051,002780.SZ,2.39B,3.74,0.53,-11.22%,-1.91%,-7.05%
1052,300777.SZ,13.80B,14.08,N/A,62.44%,8.64%,16.79%
1053,000815.SZ,4.76B,2.32,0.94,6.33%,1.10%,3.17%
1054,600271.SS,35.56B,3.07,0.34,1.50%,6.23%,9.73%
1055,300341.SZ,4.23B,4.46,1.35,12.94%,6.51%,14.90%
1056,002294.SZ,18.56B,2.84,0.56,13.11%,4.70%,7.37%
1057,000567.SZ,6.41B,1.50,0.13,33.90%,2.55%,2.61%
1058,300155.SZ,3.44B,2.84,0.75,7.64%,3.12%,5.57%
1059,300488.SZ,2.58B,2.53,0.58,34.98%,4.57%,11.43%
1060,600873.SS,13.69B,1.54,0.26,5.87%,3.95%,9.48%
1061,002645.SZ,4.98B,2.96,0.10,8.09%,3.87%,7.22%
1062,002592.SZ,2.56B,1.38,N/A,-59.76%,-0.41%,-22.82%
1063,600426.SS,25.54B,1.79,1.08,17.29%,10.16%,18.66%
1064,002421.SZ,6.58B,1.98,0.60,-15.24%,1.89%,-10.79%
1065,300519.SZ,2.19B,2.83,1.24,32.00%,6.23%,10.99%
1066,002654.SZ,3.67B,1.70,0.31,0.68%,2.98%,2.44%
1067,002437.SZ,5.67B,1.23,0.75,-47.73%,2.41%,-61.86%
1068,300645.SZ,1.86B,3.20,-0.00,3.31%,1.24%,2.78%
1069,600886.SS,53.88B,1.34,0.30,12.99%,3.78%,12.01%
1070,603098.SS,4.19B,2.09,N/A,6.36%,5.05%,10.73%
1071,603016.SS,3.10B,3.73,-0.53,14.15%,3.52%,7.02%
1072,300671.SZ,3.38B,5.82,-0.52,6.79%,2.44%,6.86%
1073,600613.SS,3.54B,1.38,N/A,4.36%,3.72%,3.06%
1074,300379.SZ,10.61B,6.92,0.49,20.82%,2.83%,5.96%
1075,600503.SS,4.87B,1.30,0.52,11.63%,5.98%,6.27%
1076,688368.SS,4.25B,13.21,N/A,10.74%,N/A,N/A
1077,002660.SZ,2.68B,4.43,0.57,6.08%,2.56%,12.50%
1078,002130.SZ,5.55B,1.96,1.10,5.75%,4.02%,7.88%
1079,603577.SS,2.49B,2.01,N/A,4.08%,3.28%,6.70%
1080,600699.SS,23.25B,1.77,0.66,1.23%,1.97%,5.73%
1081,002785.SZ,2.62B,3.96,N/A,-3.67%,-1.47%,-5.24%
1082,002714.SZ,269.18B,13.04,0.68,42.73%,14.45%,42.31%
1083,600581.SS,4.84B,1.13,0.46,0.58%,1.41%,2.93%
1084,600229.SS,4.76B,1.78,0.72,17.53%,3.94%,14.14%
1085,600127.SS,4.76B,6.29,-0.13,-0.95%,-0.77%,-5.34%
1086,000025.SZ,7.13B,6.87,0.27,38.51%,2.04%,16.68%
1087,000980.SZ,5.11B,0.30,N/A,-290.13%,-6.56%,-71.86%
1088,000985.SZ,1.71B,2.93,0.55,0.60%,0.71%,2.28%
1089,300484.SZ,1.67B,2.70,-0.11,-45.73%,-5.69%,-23.57%
1090,300630.SZ,17.48B,16.63,0.57,32.28%,13.35%,28.94%
1091,002298.SZ,5.45B,1.26,0.90,10.92%,3.51%,6.62%
1092,002799.SZ,2.46B,4.22,0.21,4.81%,5.28%,14.48%
1093,603520.SS,9.90B,9.94,N/A,13.41%,6.55%,18.60%
1094,300684.SZ,6.61B,9.02,3.45,15.37%,9.58%,17.24%
1095,002683.SZ,15.89B,4.99,1.00,5.39%,4.15%,10.50%
1096,002159.SZ,1.43B,1.28,N/A,-4.69%,3.34%,-1.71%
1097,000020.SZ,1.94B,7.85,0.54,0.72%,1.50%,1.47%
1098,002953.SZ,7.11B,7.75,N/A,7.04%,6.07%,14.22%
1099,002619.SZ,4.24B,0.64,0.86,0.00%,-0.35%,-51.84%
1100,300610.SZ,1.72B,2.11,-0.09,13.10%,5.26%,11.73%
1101,603288.SS,338.01B,20.38,0.16,27.18%,16.30%,32.64%
1102,600903.SS,12.29B,4.60,0.72,4.23%,2.24%,5.46%
1103,603059.SS,2.48B,2.61,0.40,13.11%,5.41%,10.52%
1104,300002.SZ,7.16B,1.45,0.88,-66.73%,-2.51%,-31.22%
1105,300545.SZ,3.85B,5.99,-0.30,12.93%,4.65%,12.82%
1106,300761.SZ,21.06B,3.46,N/A,18.97%,12.77%,27.61%
1107,300441.SZ,5.79B,3.59,-0.27,-9.94%,4.41%,-7.13%
1108,002858.SZ,1.60B,3.68,0.18,6.11%,N/A,5.63%
1109,002287.SZ,10.63B,4.94,0.70,25.22%,6.55%,14.78%
1110,002092.SZ,10.54B,0.56,0.87,0.21%,1.25%,0.00%
1111,300226.SZ,10.84B,9.84,1.05,0.17%,2.37%,12.26%
1112,000969.SZ,6.25B,1.43,0.60,2.57%,0.87%,3.00%
1113,002889.SZ,3.29B,2.13,0.39,1.00%,0.93%,10.19%
1114,002610.SZ,7.05B,1.19,N/A,-31.44%,1.42%,-33.20%
1115,300204.SZ,5.29B,3.24,0.47,-4.66%,-2.45%,-1.25%
1116,300567.SZ,12.83B,9.22,0.89,10.82%,5.12%,13.51%
1117,603113.SS,6.39B,1.17,N/A,10.55%,7.10%,15.36%
1118,002643.SZ,11.51B,2.45,0.58,18.41%,7.03%,11.41%
1119,300409.SZ,4.85B,2.01,0.75,4.37%,0.50%,4.62%
1120,603803.SS,5.33B,2.10,0.05,4.19%,1.93%,3.38%
1121,688181.SS,4.23B,7.66,N/A,25.62%,6.08%,10.56%
1122,300767.SZ,5.69B,6.03,N/A,23.23%,5.64%,9.98%
1123,603958.SS,1.38B,1.36,N/A,0.77%,1.86%,0.66%
1124,600185.SS,8.55B,1.08,N/A,11.22%,1.07%,4.43%
1125,603568.SS,27.57B,7.23,-0.06,47.06%,10.95%,23.61%
1126,002399.SZ,25.56B,3.74,0.55,16.54%,6.46%,11.56%
1127,002427.SZ,3.15B,4.45,0.09,-0.85%,-1.39%,-3.31%
1128,688199.SS,6.21B,6.59,N/A,21.42%,15.96%,34.64%
1129,300253.SZ,34.43B,9.77,0.77,18.19%,5.04%,9.43%
1130,603311.SS,2.38B,2.95,0.60,13.05%,5.35%,10.71%
1131,300817.SZ,2.47B,5.21,N/A,12.87%,5.26%,10.33%
1132,000550.SZ,7.50B,0.96,N/A,0.72%,0.62%,1.83%
1133,000548.SZ,1.84B,1.08,N/A,13.09%,1.10%,1.42%
1134,300511.SZ,3.99B,2.45,-0.23,12.51%,4.87%,12.88%
1135,002476.SZ,4.02B,5.60,0.57,22.45%,-1.43%,12.10%
1136,300116.SZ,8.55B,N/A,N/A,187.03%,-3.68%,731.57%
1137,300555.SZ,1.75B,2.74,-0.38,-1.30%,-0.25%,-0.46%
1138,603386.SS,3.13B,3.12,0.38,0.47%,-0.09%,0.88%
1139,000425.SZ,39.56B,1.22,0.84,6.64%,2.85%,11.81%
1140,300711.SZ,2.68B,5.04,-0.16,4.21%,0.24%,1.91%
1141,002236.SZ,48.61B,3.44,1.12,12.61%,7.93%,21.38%
1142,000880.SZ,2.03B,1.39,0.72,3.39%,0.08%,6.10%
1143,603881.SS,10.19B,9.27,0.45,14.60%,3.06%,9.53%
1144,600182.SS,4.41B,4.58,0.95,2.88%,5.01%,9.82%
1145,601010.SS,5.78B,1.24,0.60,5.68%,2.68%,5.61%
1146,300789.SZ,2.93B,4.39,N/A,27.20%,N/A,N/A
1147,600325.SS,13.61B,0.73,1.10,7.97%,1.12%,8.61%
1148,300657.SZ,5.64B,3.99,0.32,5.59%,1.92%,11.32%
1149,000666.SZ,6.64B,0.76,0.40,4.28%,3.21%,6.41%
1150,000953.SZ,2.30B,N/A,-0.05,-20.63%,-2.12%,N/A
1151,002757.SZ,4.19B,2.40,-0.01,12.45%,6.01%,11.11%
1152,300271.SZ,20.88B,3.52,0.37,15.10%,4.98%,9.56%
1153,600572.SS,13.74B,2.53,0.82,-5.09%,5.16%,-4.83%
1154,002765.SZ,2.05B,1.28,0.47,-11.28%,-4.55%,-11.51%
1155,300393.SZ,4.69B,2.01,0.81,5.52%,3.82%,5.92%
1156,300072.SZ,10.67B,1.11,0.92,0.62%,1.06%,-0.14%
1157,300455.SZ,8.79B,11.48,0.91,15.24%,6.82%,12.96%
1158,002417.SZ,1.69B,7.42,0.41,5.17%,4.29%,8.41%
1159,002144.SZ,1.60B,0.93,0.73,14.57%,1.59%,4.43%
1160,300334.SZ,2.30B,1.47,0.26,-142.73%,-20.59%,-62.62%
1161,300163.SZ,1.73B,3.06,0.67,12.85%,-0.77%,8.08%
1162,002675.SZ,10.85B,2.44,0.54,5.17%,5.71%,6.12%
1163,603717.SS,1.93B,1.39,N/A,7.01%,1.78%,3.73%
1164,002882.SZ,4.50B,2.51,0.07,7.40%,9.60%,16.79%
1165,300640.SZ,1.62B,5.01,0.59,7.59%,4.76%,13.90%
1166,300430.SZ,2.03B,1.21,0.11,7.80%,1.45%,2.82%
1167,002523.SZ,3.54B,1.70,0.82,4.90%,0.95%,2.72%
1168,603686.SS,5.73B,2.36,0.87,6.70%,5.65%,13.05%
1169,300134.SZ,12.19B,2.26,0.60,-17.23%,-1.21%,-7.28%
1170,300148.SZ,3.21B,0.96,0.43,-0.48%,1.26%,-0.05%
1171,600060.SS,12.27B,0.86,N/A,1.75%,0.99%,5.41%
1172,002910.SZ,2.10B,1.95,0.32,2.95%,1.32%,1.86%
1173,600819.SS,4.22B,1.39,0.75,3.64%,1.04%,3.53%
1174,002013.SZ,26.13B,2.68,0.48,8.23%,2.89%,8.50%
1175,600467.SS,3.90B,1.27,0.26,5.56%,1.01%,2.14%
1176,600098.SS,15.84B,0.94,0.46,2.62%,2.11%,4.55%
1177,002737.SZ,8.05B,2.63,0.37,13.68%,7.73%,17.13%
1178,000910.SZ,6.07B,1.28,0.57,9.05%,6.12%,12.58%
1179,002102.SZ,5.72B,1.84,0.40,4.26%,4.20%,19.88%
1180,000923.SZ,7.79B,1.13,0.71,8.47%,4.40%,8.70%
1181,300316.SZ,24.52B,5.60,0.77,19.81%,6.11%,13.70%
1182,000926.SZ,4.94B,0.44,N/A,6.70%,1.51%,4.98%
1183,600995.SS,3.53B,1.58,0.40,11.41%,7.24%,11.45%
1184,002110.SZ,19.51B,1.09,0.72,6.72%,9.16%,16.69%
1185,600438.SS,49.78B,2.89,0.91,6.35%,4.12%,13.03%
1186,002066.SZ,1.91B,4.23,0.31,0.25%,2.22%,7.53%
1187,603168.SS,2.58B,1.70,0.52,-2.56%,-2.66%,-0.75%
1188,002925.SZ,20.81B,5.01,1.08,25.31%,11.68%,24.02%
1189,600790.SS,4.56B,0.85,0.93,33.86%,2.20%,5.95%
1190,600580.SS,13.43B,2.01,1.21,6.76%,2.88%,12.25%
1191,002374.SZ,2.28B,0.94,0.77,-0.26%,-0.14%,0.04%
1192,002528.SZ,5.61B,1.50,0.54,0.32%,0.17%,0.33%
1193,603569.SS,4.90B,1.87,N/A,0.30%,1.31%,1.12%
1194,600023.SS,46.11B,0.73,0.50,7.59%,2.35%,5.89%
1195,688010.SS,5.40B,3.10,N/A,15.47%,N/A,N/A
1196,600491.SS,10.94B,1.07,1.03,4.65%,1.68%,8.29%
1197,000911.SZ,2.39B,N/A,0.29,8.70%,-1.14%,N/A
1198,002189.SZ,4.43B,3.34,0.98,2.06%,0.53%,3.63%
1199,600387.SS,3.49B,1.15,N/A,4.00%,1.26%,13.89%
1200,600818.SS,2.54B,5.16,0.66,-6.41%,-4.66%,-7.88%
1201,603167.SS,3.69B,1.11,1.10,11.70%,1.78%,5.41%
1202,300634.SZ,7.13B,5.52,0.62,16.82%,4.39%,9.53%
1203,601375.SS,14.47B,1.89,N/A,-8.15%,-0.42%,-1.75%
1204,002002.SZ,10.07B,1.54,0.88,11.82%,4.24%,9.12%
1205,000963.SZ,30.46B,2.61,0.66,8.89%,8.73%,24.83%
1206,603011.SS,2.35B,1.42,N/A,0.06%,0.39%,0.00%
1207,300108.SZ,2.28B,1.03,N/A,-202.92%,-5.50%,-139.63%
1208,600257.SS,1.94B,1.49,0.71,-12.72%,-0.55%,-12.30%
1209,600097.SS,2.40B,1.41,0.20,8.06%,2.61%,10.75%
1210,300778.SZ,2.73B,3.06,N/A,25.31%,N/A,15.74%
1211,601518.SS,3.12B,0.85,0.81,15.29%,2.25%,2.50%
1212,603690.SS,7.65B,5.62,N/A,8.54%,2.95%,7.08%
1213,603758.SS,2.58B,1.14,N/A,19.80%,-2.94%,4.92%
1214,600897.SS,5.18B,1.43,0.68,25.48%,6.90%,10.59%
1215,300431.SZ,1.53B,N/A,0.49,0.00%,-32.50%,N/A
1216,300287.SZ,5.93B,1.54,0.50,1.04%,0.11%,0.36%
1217,300661.SZ,27.78B,24.90,0.41,21.82%,7.04%,18.36%
1218,000822.SZ,3.31B,0.96,0.89,1.17%,0.52%,1.54%
1219,600997.SS,7.49B,0.67,N/A,5.81%,4.57%,9.04%
1220,300525.SZ,6.92B,6.56,1.11,9.45%,4.53%,10.63%
1221,300061.SZ,3.29B,1.45,0.66,-3.18%,-0.47%,-2.97%
1222,300265.SZ,5.03B,4.91,-0.66,1.87%,2.63%,2.94%
1223,600268.SS,4.08B,1.70,0.95,1.06%,2.27%,6.40%
1224,603309.SS,3.54B,3.50,0.06,11.43%,6.15%,11.58%
1225,000631.SZ,7.03B,1.08,0.64,28.47%,3.53%,7.57%
1226,600030.SS,374.62B,1.77,1.25,28.98%,1.57%,7.30%
1227,601088.SS,491.00B,0.92,0.62,16.45%,6.93%,11.10%
1228,600475.SS,6.67B,1.34,0.34,7.04%,1.47%,8.25%
1229,002040.SZ,2.99B,1.13,0.63,17.28%,2.53%,3.81%
1230,000722.SZ,2.65B,0.89,0.89,63.15%,1.09%,4.40%
1231,002716.SZ,1.72B,0.81,1.01,-110.78%,-21.25%,-377.15%
1232,000678.SZ,3.21B,2.78,0.56,-0.61%,-1.52%,-0.58%
1233,002273.SZ,16.17B,3.86,0.81,16.49%,3.92%,10.85%
1234,300757.SZ,4.01B,5.68,N/A,9.15%,3.51%,11.46%
1235,000908.SZ,3.10B,1.33,N/A,-66.36%,-6.51%,-38.96%
1236,002667.SZ,1.41B,1.79,0.30,-2.41%,-0.10%,-0.53%
1237,600737.SS,19.55B,2.45,N/A,2.78%,2.38%,6.74%
1238,002210.SZ,1.75B,1.21,N/A,0.00%,0.06%,-180.00%
1239,600539.SS,1.39B,3.18,N/A,-35.27%,-0.62%,-4.33%
1240,300676.SZ,33.86B,7.59,0.68,10.57%,2.97%,7.12%
1241,002772.SZ,3.03B,1.16,0.13,6.23%,1.51%,2.84%
1242,002613.SZ,3.64B,2.44,0.28,4.60%,0.74%,3.64%
1243,600466.SS,18.17B,1.05,0.93,8.98%,2.02%,12.09%
1244,002350.SZ,2.77B,1.56,0.63,1.38%,0.80%,2.15%
1245,000920.SZ,2.41B,2.18,0.77,6.02%,1.79%,6.32%
1246,300749.SZ,2.38B,3.10,N/A,6.16%,3.17%,7.14%
1247,300390.SZ,4.53B,5.21,0.85,11.90%,5.87%,10.91%
1248,300454.SZ,64.42B,17.16,N/A,13.17%,4.98%,15.77%
1249,002310.SZ,14.26B,1.23,0.59,0.60%,0.00%,0.37%
1250,600629.SS,4.12B,1.44,N/A,3.80%,2.47%,10.36%
1251,600155.SS,21.38B,1.42,0.53,4.55%,0.36%,0.82%
1252,600308.SS,4.93B,0.62,0.87,5.67%,4.30%,8.52%
1253,603660.SS,5.33B,3.00,0.63,-2.37%,-1.60%,-3.26%
1254,300497.SZ,7.80B,5.69,-0.08,23.58%,9.73%,22.03%
1255,600360.SS,7.14B,2.33,0.83,3.44%,1.24%,2.05%
1256,600720.SS,10.12B,1.49,1.17,17.85%,8.79%,18.85%
1257,000002.SZ,477.04B,1.54,0.57,10.62%,2.93%,21.30%
1258,688139.SS,9.77B,3.98,N/A,17.98%,4.66%,10.26%
1259,300394.SZ,7.76B,6.86,0.75,31.58%,8.18%,15.49%
1260,603380.SS,2.47B,3.05,0.28,12.34%,7.10%,15.53%
1261,002321.SZ,3.00B,1.14,0.53,-2.04%,-0.77%,-3.97%
1262,600804.SS,8.32B,1.20,N/A,-95.96%,-0.24%,-150.96%
1263,600455.SS,1.46B,9.75,0.39,8.51%,2.76%,11.85%
1264,603126.SS,2.64B,1.51,0.68,4.89%,1.34%,6.37%
1265,600908.SS,9.20B,0.79,0.63,49.02%,0.79%,11.11%
1266,688358.SS,5.49B,4.69,N/A,N/A,N/A,N/A
1267,002126.SZ,6.50B,1.74,0.91,5.58%,2.20%,8.16%
1268,300010.SZ,13.33B,3.97,0.49,-8.41%,-0.49%,-3.49%
1269,300308.SZ,38.11B,5.66,1.23,10.90%,3.06%,8.41%
1270,002650.SZ,4.64B,2.04,0.29,7.94%,2.29%,6.81%
1271,300382.SZ,3.34B,3.35,0.94,10.63%,2.99%,7.48%
1272,688123.SS,6.72B,17.10,N/A,N/A,N/A,N/A
1273,300404.SZ,3.79B,9.06,-0.94,-0.31%,-0.35%,1.35%
1274,002154.SZ,3.75B,1.35,N/A,5.84%,2.83%,6.10%
1275,300426.SZ,1.77B,8.07,0.92,0.00%,-1.08%,-12.07%
1276,002004.SZ,9.64B,1.06,0.84,6.10%,3.14%,6.67%
1277,002462.SZ,4.37B,1.31,0.54,1.53%,4.90%,13.02%
1278,603985.SS,2.46B,2.10,0.29,7.08%,5.45%,6.98%
1279,600973.SS,5.58B,1.46,0.59,0.48%,2.25%,3.88%
1280,300268.SZ,1.93B,12.48,0.31,-4.18%,-0.22%,-33.21%
1281,000415.SZ,17.87B,0.47,0.47,3.02%,0.85%,4.35%
1282,600306.SS,812.31M,N/A,N/A,-13.05%,-0.85%,N/A
1283,603860.SS,1.73B,2.70,-0.10,21.64%,3.60%,6.72%
1284,002409.SZ,14.35B,3.31,0.58,19.80%,4.02%,8.70%
1285,002959.SZ,10.05B,6.42,N/A,9.57%,N/A,N/A
1286,002193.SZ,1.90B,0.71,0.58,4.58%,0.44%,1.69%
1287,300582.SZ,2.26B,2.19,0.67,10.94%,3.62%,10.23%
