600000,40101010
600004,20305010
600006,25102010
600007,60102020
600008,55104010
600009,20305010
600010,15104050
600011,55105010
600012,20305020
600015,40101010
600016,40101010
600017,20305030
600018,20305030
600019,15104050
600020,20305020
600021,55105010
600022,15104050
600023,55105010
600025,55105020
600026,10102040
600027,55105010
600028,10102010
600029,20302010
600030,40203020
600031,20106010
600033,20305020
600035,20305020
600036,40101010
600037,50201030
600038,20101010
600039,20103010
600048,60102030
600050,50102010
600051,20107010
600052,60102030
600053,40203010
600054,25301020
600055,35101010
600056,20107010
600057,20301010
600058,20107010
600059,30201020
600060,25201010
600061,40203020
600062,35202010
600063,15101010
600064,60102010
600066,20106010
600067,60102030
600068,20103010
600069,15105020
600070,25203030
600071,45203010
600072,20103010
600073,30202030
600075,15101010
600076,15105010
600077,60102030
600078,15101030
600079,35202010
600080,35202010
600081,25101010
600082,45203030
600083,20103010
600084,30201020
600085,35202010
600086,25203010
600088,50202010
600089,20104010
600090,35102010
600091,15101010
600093,20301010
600094,60102030
600095,60102030
600096,15101030
600097,30202030
600098,55105010
600099,25102020
600100,45202030
600101,55101010
600103,15105020
600104,25102010
600105,45201020
600106,20305020
600107,25203010
600108,30202010
600109,40203020
600110,20104010
600111,15104020
600112,20104010
600113,30101030
600114,25101010
600115,20302010
600116,55101010
600117,15104050
600118,20101010
600119,20301010
600120,25501010
600121,10102050
600122,25504020
600123,10102050
600125,20304010
600126,15104050
600127,30202030
600128,25501010
600129,35202010
600130,45202030
600131,55105020
600132,30201010
600133,60102010
600135,15101010
600136,50202010
600137,25203010
600138,25301020
600139,40201040
600141,15101010
600143,15101010
600145,20102010
600146,25203010
600148,25101010
600149,20107010
600150,20106010
600151,25101010
600152,20104010
600153,20107010
600155,40203020
600156,25203030
600157,10102050
600158,60102030
600159,60102030
600160,15101010
600161,35201010
600162,60102010
600163,55105020
600165,20107010
600166,25102010
600167,55104010
600168,55104010
600169,20106010
600170,20103010
600171,45301020
600172,20106020
600173,60102030
600175,20107010
600176,15102010
600177,60102030
600178,25101010
600179,20303010
600180,20107010
600182,25101020
600183,45203015
600184,20101010
600185,60102010
600186,30202030
600187,55104010
600188,10102050
600189,15105010
600190,20305030
600191,30202030
600192,20104020
600193,15104050
600195,35202010
600196,35202010
600197,30201020
600198,45201020
600199,30201020
600200,35202010
600201,35201010
600202,20102010
600203,20107010
600206,45301020
600207,45203015
600208,60102010
600209,20103010
600210,15103010
600211,35102010
600212,55105010
600213,20106010
600215,60102030
600216,35202010
600217,20201050
600218,20106010
600219,15104010
600220,25203030
600221,20302010
600222,35202010
600223,60102030
600225,60102030
600226,15101030
600227,15101030
600228,15101010
600229,50201040
600230,15101030
600231,15104050
600232,25203030
600233,20301010
600234,25201010
600235,15105020
600236,55105010
600237,45203015
600238,30201020
600239,60102030
600241,25501010
600242,45102010
600243,20106020
600246,60102030
600247,20107010
600248,20103010
600249,30302010
600250,25501010
600251,30202010
600252,35202010
600255,15104025
600256,10102010
600257,30202030
600258,25301020
600259,15104020
600260,45201020
600261,20104010
600262,20106010
600265,15105010
600266,60102030
600267,35202010
600268,20104010
600269,20305020
600271,45103020
600272,35202010
600273,15101010
600275,30202030
600276,35202010
600277,15101010
600278,25501010
600279,20305030
600280,25503010
600281,15101020
600282,15104050
600283,55104010
600284,20103010
600285,35202010
600287,20107010
600288,45102010
600289,45102010
600290,20104020
600291,40301030
600292,20201050
600293,20102010
600295,15104020
600297,25504050
600298,30202030
600299,15101010
600300,30202030
600301,15101010
600302,20106020
600303,25102010
600305,30202030
600306,25503010
600307,15104050
600308,15105020
600309,15101050
600310,55101010
600311,15104030
600312,20104010
600313,15101030
600315,30302010
600316,20101010
600317,20305030
600318,40202010
600319,15101010
600320,20106010
600321,15105010
600322,60102030
600323,55104010
600325,60102030
600326,20103010
600327,25504050
600328,15101010
600329,35202010
600330,45203015
600331,15104020
600332,35202010
600333,55102010
600335,25501010
600336,25201040
600337,25201020
600338,15104020
600339,10101020
600340,60102010
600343,20106020
600345,45201020
600346,15101010
600348,10102050
600350,20305020
600351,35202010
600352,15101050
600353,45203015
600354,30202010
600355,45202030
600356,15105020
600358,25301020
600359,30202010
600360,45301020
600361,30101040
600362,15104025
600363,45301020
600365,30201020
600366,45203015
600367,15101050
600368,20305020
600369,40203020
600370,25203030
600371,30202010
600372,20101010
600373,50201040
600375,20106010
600376,60102030
600377,20305020
600378,15101050
600379,20104010
600380,35202010
600381,35202010
600382,20107010
600383,60102030
600385,25203010
600386,25504050
600387,10102040
600388,20106020
600389,15101030
600390,40203020
600391,20101010
600392,15104020
600393,60102030
600395,10102050
600396,55101010
600397,10102050
600398,25504010
600399,15104050
600400,25203010
600403,10102050
600405,20104020
600406,20104020
600408,15104050
600409,15101010
600410,45102010
600415,60102010
600416,20104010
600418,25102010
600419,30202010
600420,35202010
600421,20107010
600422,35202010
600423,15101030
600425,15102010
600426,15101030
600428,20303010
600429,30202030
600433,15105020
600435,20106020
600436,35202010
600438,30202010
600439,30302010
600444,20102010
600446,45103010
600448,25203030
600449,15102010
600452,55101010
600455,25302010
600456,15104020
600458,15101010
600459,15104040
600460,45301020
600461,55104010
600462,15105020
600463,20103010
600466,60102030
